trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1108-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-choir3.wav","Theta",180,"choir"
2,"1073-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-acoustic20.wav","Gamma",180,"acoustic"
3,"1052-sin-37.5Hz-ninety.avi","ninety","sin-ninety-yann15.wav","Gamma",90,"yann"
4,"1083-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-acoustic5.wav","Gamma",270,"acoustic"
5,"1049-sin-37.5Hz-ninety.avi","zero","sin-zero-yann8.wav","Gamma",0,"yann"
6,"1071-sin-37.5Hz-ninety.avi","zero","sin-zero-yann10.wav","Gamma",0,"yann"
7,"1111-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-choir4.wav","Theta",180,"choir"
8,"1067-sin-37.5Hz-ninety.avi","ninety","sin-ninety-yann13.wav","Gamma",90,"yann"
9,"1104-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-choir12.wav","Theta",0,"choir"
10,"1089-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-acoustic25.wav","Gamma",180,"acoustic"
11,"1102-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-choir11.wav","Theta",0,"choir"
12,"1077-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-acoustic17.wav","Gamma",270,"acoustic"
