trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1142-sin-37.5Hz-ninety.avi","ninety","sin-ninety-synth6.wav","Gamma",90,"synth"
2,"1149-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-yann2.wav","Gamma",270,"yann"
3,"1188-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-acoustic15.wav","Theta",180,"acoustic"
4,"1144-sin-37.5Hz-ninety.avi","ninety","sin-ninety-synth17.wav","Gamma",90,"synth"
5,"1126-sin-37.5Hz-ninety.avi","zero","sin-zero-synth19.wav","Gamma",0,"synth"
6,"1153-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-yann23.wav","Gamma",180,"yann"
7,"1145-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-yann3.wav","Gamma",270,"yann"
8,"1169-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-acoustic14.wav","Theta",180,"acoustic"
9,"1175-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-acoustic9.wav","Theta",0,"acoustic"
10,"1151-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-yann24.wav","Gamma",180,"yann"
11,"1189-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-acoustic10.wav","Theta",0,"acoustic"
12,"1135-sin-37.5Hz-ninety.avi","zero","sin-zero-synth22.wav","Gamma",0,"synth"
