respMat_ 1,respMat_ 2,respMat_ 3,respMat_ 4,respMat_ 5,respMat_ 6,respMat_ 7,respMat_ 8,respMat_ 9,respMat_10,respMat_11
3,1,1,1071.avi,zero,sin-zero-4Hz-synth6.wav,0,synth,2,3.06637616804437,23228.0810636053
3,1,2,1184.avi,oneeighty,sin-oneeighty-4Hz-acoustic14.wav,180,acoustic,3,2.87012930559649,23236.9971222826
3,1,3,1139.avi,oneeighty,sin-oneeighty-4Hz-yann13.wav,180,yann,4,2.92646530996717,23245.0607109921
3,1,4,1105.avi,zero,sin-zero-4Hz-yann4.wav,0,yann,2,2.14265122506185,23253.604123229
3,1,5,1138.avi,oneeighty,sin-oneeighty-4Hz-yann14.wav,180,yann,3,2.98011166134893,23261.0946268823
3,1,6,1182.avi,oneeighty,sin-oneeighty-4Hz-acoustic15.wav,180,acoustic,1,2.12976624772273,23268.6650726976
3,1,7,1023.avi,zero,sin-zero-4Hz-orch10.wav,0,orch,2,4.38842453047982,23276.9819672502
3,1,8,1156.avi,zero,sin-zero-4Hz-acoustic11.wav,0,acoustic,3,2.29356671833739,23287.324676736
3,1,9,1046.avi,oneeighty,sin-oneeighty-4Hz-orch18.wav,180,orch,4,3.04546962518725,23294.3086553395
3,1,10,1007.avi,zero,sin-zero-4Hz-orch6.wav,0,orch,3,1.67781549463689,23302.4922249105
3,1,11,1025.avi,oneeighty,sin-oneeighty-4Hz-orch15.wav,180,orch,3,3.45603262600343,23308.729892429
3,1,12,1050.avi,zero,sin-zero-4Hz-synth2.wav,0,synth,3,1.27805004686525,23317.9397876955
3,1,13,1165.avi,zero,sin-zero-4Hz-acoustic5.wav,0,acoustic,4,2.01132371075801,23325.1503890337
3,1,14,1103.avi,zero,sin-zero-4Hz-yann2.wav,0,yann,5,1.63605614160042,23333.61379149
3,1,15,1085.avi,oneeighty,sin-oneeighty-4Hz-synth24.wav,180,synth,4,2.43549345774591,23339.918018411
3,1,16,1095.avi,oneeighty,sin-oneeighty-4Hz-synth14.wav,180,synth,3,2.20091828556542,23347.7284328923
