trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1064.avi","zero","sin-zero-4Hz-choir2.wav","Theta",0,"choir"
2,"1047.avi","oneeighty","sin-oneeighty-4Hz-acoustic19.wav","Theta",180,"acoustic"
3,"1184.avi","oneeighty","sin-oneeighty-4Hz-ep19.wav","Theta",180,"ep"
4,"1117.avi","zero","sin-zero-4Hz-dar7.wav","Theta",0,"dar"
5,"1190.avi","oneeighty","sin-oneeighty-4Hz-ep15.wav","Theta",180,"ep"
6,"1157.avi","zero","sin-zero-4Hz-ep8.wav","Theta",0,"ep"
7,"1071.avi","zero","sin-zero-4Hz-choir1.wav","Theta",0,"choir"
8,"1091.avi","oneeighty","sin-oneeighty-4Hz-choir18.wav","Theta",180,"choir"
9,"1011.avi","zero","sin-zero-4Hz-acoustic1.wav","Theta",0,"acoustic"
10,"1139.avi","oneeighty","sin-oneeighty-4Hz-dar13.wav","Theta",180,"dar"
11,"1112.avi","zero","sin-zero-4Hz-dar4.wav","Theta",0,"dar"
12,"1088.avi","oneeighty","sin-oneeighty-4Hz-choir13.wav","Theta",180,"choir"
13,"1167.avi","zero","sin-zero-4Hz-ep6.wav","Theta",0,"ep"
14,"1048.avi","oneeighty","sin-oneeighty-4Hz-acoustic14.wav","Theta",180,"acoustic"
15,"1132.avi","oneeighty","sin-oneeighty-4Hz-dar17.wav","Theta",180,"dar"
16,"1007.avi","zero","sin-zero-4Hz-acoustic2.wav","Theta",0,"acoustic"
