trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1110-sin-37.5Hz-ninety.avi","ninety","sin-ninety-choir14.wav","Gamma",90,"choir"
2,"1121-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-dar6.wav","Gamma",270,"dar"
3,"1156-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-ep23.wav","Theta",0,"ep"
4,"1129-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-dar18.wav","Gamma",270,"dar"
5,"1116-sin-37.5Hz-ninety.avi","zero","sin-zero-choir9.wav","Gamma",0,"choir"
6,"1107-sin-37.5Hz-ninety.avi","zero","sin-zero-choir10.wav","Gamma",0,"choir"
7,"1163-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-ep24.wav","Theta",0,"ep"
8,"1123-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-dar21.wav","Gamma",180,"dar"
9,"1103-sin-37.5Hz-ninety.avi","ninety","sin-ninety-choir16.wav","Gamma",90,"choir"
10,"1139-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-dar20.wav","Gamma",180,"dar"
11,"1166-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-ep2.wav","Theta",180,"ep"
12,"1159-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-ep3.wav","Theta",180,"ep"
