trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1107-sin-37.5Hz-ninety.avi","zero","sin-zero-choir19.wav","Gamma",0,"choir"
2,"1145-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-ep7.wav","Theta",0,"ep"
3,"1157-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-ep9.wav","Theta",0,"ep"
4,"1165-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-ep16.wav","Theta",180,"ep"
5,"1099-sin-37.5Hz-ninety.avi","ninety","sin-ninety-choir18.wav","Gamma",90,"choir"
6,"1153-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-ep14.wav","Theta",180,"ep"
7,"1114-sin-37.5Hz-ninety.avi","ninety","sin-ninety-choir5.wav","Gamma",90,"choir"
8,"1126-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-dar4.wav","Gamma",270,"dar"
9,"1112-sin-37.5Hz-ninety.avi","zero","sin-zero-choir21.wav","Gamma",0,"choir"
10,"1136-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-dar11.wav","Gamma",180,"dar"
11,"1131-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-dar12.wav","Gamma",180,"dar"
12,"1129-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-dar1.wav","Gamma",270,"dar"
