trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1077-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-acoustic24.wav","Gamma",180,"acoustic"
2,"1098-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-choir7.wav","Theta",0,"choir"
3,"1080-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-acoustic1.wav","Gamma",270,"acoustic"
4,"1115-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-choir9.wav","Theta",0,"choir"
5,"1061-sin-37.5Hz-ninety.avi","zero","sin-zero-yann22.wav","Gamma",0,"yann"
6,"1108-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-choir14.wav","Theta",180,"choir"
7,"1105-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-choir16.wav","Theta",180,"choir"
8,"1067-sin-37.5Hz-ninety.avi","ninety","sin-ninety-yann17.wav","Gamma",90,"yann"
9,"1086-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-acoustic4.wav","Gamma",270,"acoustic"
10,"1071-sin-37.5Hz-ninety.avi","ninety","sin-ninety-yann6.wav","Gamma",90,"yann"
11,"1054-sin-37.5Hz-ninety.avi","zero","sin-zero-yann21.wav","Gamma",0,"yann"
12,"1081-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-acoustic11.wav","Gamma",180,"acoustic"
