trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1023.avi","zero","sin-zero-4Hz-dar7.wav","Theta",0,"dar"
2,"1010.avi","zero","sin-zero-4Hz-dar9.wav","Theta",0,"dar"
3,"1107.avi","zero","sin-zero-4Hz-guitar6.wav","Theta",0,"guitar"
4,"1081.avi","oneeighty","sin-oneeighty-4Hz-ep22.wav","Theta",180,"ep"
5,"1090.avi","oneeighty","sin-oneeighty-4Hz-ep14.wav","Theta",180,"ep"
6,"1119.avi","zero","sin-zero-4Hz-guitar5.wav","Theta",0,"guitar"
7,"1171.avi","oneeighty","sin-oneeighty-4Hz-orch17.wav","Theta",180,"orch"
8,"1164.avi","zero","sin-zero-4Hz-orch11.wav","Theta",0,"orch"
9,"1185.avi","oneeighty","sin-oneeighty-4Hz-orch20.wav","Theta",180,"orch"
10,"1031.avi","oneeighty","sin-oneeighty-4Hz-dar22.wav","Theta",180,"dar"
11,"1032.avi","oneeighty","sin-oneeighty-4Hz-dar16.wav","Theta",180,"dar"
12,"1052.avi","zero","sin-zero-4Hz-ep1.wav","Theta",0,"ep"
13,"1138.avi","oneeighty","sin-oneeighty-4Hz-guitar14.wav","Theta",180,"guitar"
14,"1131.avi","oneeighty","sin-oneeighty-4Hz-guitar15.wav","Theta",180,"guitar"
15,"1068.avi","zero","sin-zero-4Hz-ep4.wav","Theta",0,"ep"
16,"1153.avi","zero","sin-zero-4Hz-orch7.wav","Theta",0,"orch"
