trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat,movie1,movie2,movie3,movie4,correctresponse
1,"1085.avi","oneeighty","sin-oneeighty-4Hz-yann19.wav","Theta",180,"yann","1058.avi","1087.avi","1056.avi","1085.avi",4
2,"1008.avi","zero","sin-zero-4Hz-synth8.wav","Theta",0,"synth","1019.avi","1037.avi","1038.avi","1008.avi",4
3,"1056.avi","zero","sin-zero-4Hz-yann7.wav","Theta",0,"yann","1087.avi","1085.avi","1056.avi","1058.avi",3
4,"1019.avi","zero","sin-zero-4Hz-synth1.wav","Theta",0,"synth","1037.avi","1019.avi","1008.avi","1038.avi",2
5,"1118.avi","zero","sin-zero-4Hz-acoustic11.wav","Theta",0,"acoustic","1118.avi","1099.avi","1130.avi","1140.avi",1
6,"1087.avi","oneeighty","sin-oneeighty-4Hz-yann23.wav","Theta",180,"yann","1058.avi","1056.avi","1087.avi","1085.avi",3
7,"1037.avi","oneeighty","sin-oneeighty-4Hz-synth16.wav","Theta",180,"synth","1038.avi","1008.avi","1019.avi","1037.avi",4
8,"1140.avi","oneeighty","sin-oneeighty-4Hz-acoustic24.wav","Theta",180,"acoustic","1130.avi","1118.avi","1140.avi","1099.avi",3
9,"1038.avi","oneeighty","sin-oneeighty-4Hz-synth21.wav","Theta",180,"synth","1037.avi","1038.avi","1008.avi","1019.avi",2
10,"1058.avi","zero","sin-zero-4Hz-yann9.wav","Theta",0,"yann","1085.avi","1058.avi","1087.avi","1056.avi",2
11,"1130.avi","oneeighty","sin-oneeighty-4Hz-acoustic17.wav","Theta",180,"acoustic","1130.avi","1140.avi","1099.avi","1118.avi",1
12,"1186.avi","oneeighty","sin-oneeighty-4Hz-choir21.wav","Theta",180,"choir","1186.avi","1154.avi","1182.avi","1146.avi",1
13,"1154.avi","zero","sin-zero-4Hz-choir1.wav","Theta",0,"choir","1146.avi","1154.avi","1186.avi","1182.avi",2
14,"1146.avi","zero","sin-zero-4Hz-choir7.wav","Theta",0,"choir","1146.avi","1154.avi","1182.avi","1186.avi",1
15,"1182.avi","oneeighty","sin-oneeighty-4Hz-choir20.wav","Theta",180,"choir","1186.avi","1182.avi","1146.avi","1154.avi",2
16,"1099.avi","zero","sin-zero-4Hz-acoustic8.wav","Theta",0,"acoustic","1140.avi","1099.avi","1130.avi","1118.avi",2
