trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1181-sin-37.5Hz-ninety.avi","ninety","sin-ninety-synth16.wav","Gamma",90,"synth"
2,"1022-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-yann21.wav","Gamma",180,"yann"
3,"1008-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-yann19.wav","Gamma",180,"yann"
4,"1044-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-acoustic23.wav","Theta",0,"acoustic"
5,"1031-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-acoustic4.wav","Theta",180,"acoustic"
6,"1175-sin-37.5Hz-ninety.avi","ninety","sin-ninety-synth13.wav","Gamma",90,"synth"
7,"1047-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-acoustic11.wav","Theta",0,"acoustic"
8,"1015-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-yann6.wav","Gamma",270,"yann"
9,"1171-sin-37.5Hz-ninety.avi","zero","sin-zero-synth8.wav","Gamma",0,"synth"
10,"1021-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-yann5.wav","Gamma",270,"yann"
11,"1169-sin-37.5Hz-ninety.avi","zero","sin-zero-synth10.wav","Gamma",0,"synth"
12,"1032-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-acoustic2.wav","Theta",180,"acoustic"
