respMat_ 1,respMat_ 2,respMat_ 3,respMat_ 4,respMat_ 5,respMat_ 6,respMat_ 7,respMat_ 8,respMat_ 9,respMat_10,respMat_11
16,9,1,1077.avi,oneeighty,sin-oneeighty-4Hz-yann17.wav,180,yann,1,2.62386855375644,3641.99982280235
16,9,2,1145.avi,zero,sin-zero-4Hz-choir4.wav,0,choir,3,2.68851339623325,3651.06304070565
16,9,3,1124.avi,oneeighty,sin-oneeighty-4Hz-acoustic20.wav,180,acoustic,3,1.29134553994709,3658.62019962659
16,9,4,1005.avi,zero,sin-zero-4Hz-synth3.wav,0,synth,2,1.33904672493736,3665.08447347092
16,9,5,1057.avi,zero,sin-zero-4Hz-yann9.wav,0,yann,4,1.42657481770857,3671.54878686021
16,9,6,1191.avi,oneeighty,sin-oneeighty-4Hz-choir22.wav,180,choir,4,1.63982539843028,3678.39947082201
16,9,7,1018.avi,zero,sin-zero-4Hz-synth11.wav,0,synth,4,1.11694320468132,3685.01029255725
16,9,8,1121.avi,oneeighty,sin-oneeighty-4Hz-acoustic18.wav,180,acoustic,4,1.17286943974432,3692.27425155123
16,9,9,1075.avi,oneeighty,sin-oneeighty-4Hz-yann14.wav,180,yann,5,1.47432611310751,3699.84467765574
16,9,10,1059.avi,zero,sin-zero-4Hz-yann12.wav,0,yann,1,1.30372673526153,3707.21523809236
16,9,11,1175.avi,oneeighty,sin-oneeighty-4Hz-choir20.wav,180,choir,2,1.65235390627231,3713.02648636982
16,9,12,1028.avi,oneeighty,sin-oneeighty-4Hz-synth18.wav,180,synth,3,1.22012717780308,3719.2107227219
16,9,13,1114.avi,zero,sin-zero-4Hz-acoustic8.wav,0,acoustic,1,2.35871445670182,3726.60791623713
16,9,14,1161.avi,zero,sin-zero-4Hz-choir3.wav,0,choir,2,1.60167356691045,3734.60492953601
16,9,15,1104.avi,zero,sin-zero-4Hz-acoustic12.wav,0,acoustic,4,1.18540549433465,3741.30908432284
16,9,16,1027.avi,oneeighty,sin-oneeighty-4Hz-synth24.wav,180,synth,3,1.62766849247691,3747.42672907324
