trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1142-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-ep17.wav","Gamma",180,"ep"
2,"1101-sin-37.5Hz-ninety.avi","zero","sin-zero-dar15.wav","Gamma",0,"dar"
3,"1117-sin-37.5Hz-ninety.avi","ninety","sin-ninety-dar19.wav","Gamma",90,"dar"
4,"1167-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-guitar4.wav","Theta",0,"guitar"
5,"1141-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-ep5.wav","Gamma",180,"ep"
6,"1160-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-guitar2.wav","Theta",0,"guitar"
7,"1148-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-guitar7.wav","Theta",180,"guitar"
8,"1103-sin-37.5Hz-ninety.avi","zero","sin-zero-dar13.wav","Gamma",0,"dar"
9,"1136-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-ep23.wav","Gamma",270,"ep"
10,"1104-sin-37.5Hz-ninety.avi","ninety","sin-ninety-dar21.wav","Gamma",90,"dar"
11,"1131-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-ep12.wav","Gamma",270,"ep"
12,"1155-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-guitar10.wav","Theta",180,"guitar"
