trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1049.avi","zero","sin-zero-4Hz-yann2.wav","Theta",0,"yann"
2,"1030.avi","oneeighty","sin-oneeighty-4Hz-synth18.wav","Theta",180,"synth"
3,"1143.avi","oneeighty","sin-oneeighty-4Hz-acoustic22.wav","Theta",180,"acoustic"
4,"1088.avi","oneeighty","sin-oneeighty-4Hz-yann21.wav","Theta",180,"yann"
5,"1068.avi","zero","sin-zero-4Hz-yann3.wav","Theta",0,"yann"
6,"1184.avi","oneeighty","sin-oneeighty-4Hz-choir15.wav","Theta",180,"choir"
7,"1099.avi","zero","sin-zero-4Hz-acoustic3.wav","Theta",0,"acoustic"
8,"1150.avi","zero","sin-zero-4Hz-choir10.wav","Theta",0,"choir"
9,"1002.avi","zero","sin-zero-4Hz-synth8.wav","Theta",0,"synth"
10,"1008.avi","zero","sin-zero-4Hz-synth2.wav","Theta",0,"synth"
11,"1101.avi","zero","sin-zero-4Hz-acoustic5.wav","Theta",0,"acoustic"
12,"1148.avi","zero","sin-zero-4Hz-choir9.wav","Theta",0,"choir"
13,"1175.avi","oneeighty","sin-oneeighty-4Hz-choir16.wav","Theta",180,"choir"
14,"1137.avi","oneeighty","sin-oneeighty-4Hz-acoustic20.wav","Theta",180,"acoustic"
15,"1033.avi","oneeighty","sin-oneeighty-4Hz-synth20.wav","Theta",180,"synth"
16,"1091.avi","oneeighty","sin-oneeighty-4Hz-yann22.wav","Theta",180,"yann"
