trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1081-sin-37.5Hz-ninety.avi","ninety","sin-ninety-choir9.wav","Gamma",90,"choir"
2,"1127-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-ep18.wav","Theta",0,"ep"
3,"1109-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-dar21.wav","Gamma",270,"dar"
4,"1104-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-dar13.wav","Gamma",180,"dar"
5,"1119-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-dar15.wav","Gamma",180,"dar"
6,"1077-sin-37.5Hz-ninety.avi","zero","sin-zero-choir2.wav","Gamma",0,"choir"
7,"1091-sin-37.5Hz-ninety.avi","zero","sin-zero-choir4.wav","Gamma",0,"choir"
8,"1142-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-ep6.wav","Theta",0,"ep"
9,"1144-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-ep24.wav","Theta",180,"ep"
10,"1114-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-dar20.wav","Gamma",270,"dar"
11,"1124-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-ep23.wav","Theta",180,"ep"
12,"1092-sin-37.5Hz-ninety.avi","ninety","sin-ninety-choir7.wav","Gamma",90,"choir"
